"Date","Max.temperature","Min.temperature","Avg.temperature","Norm.temperature","Depart.temperature","DD.heat","DD.cool","Total.equiv.precipitation","Trace.precipitation","Snow.ice.precipitation","Trace.snow.ice.precipitation","Snow.ice.onground","Trace.snow.ice.onground","Avg.wind.speed","Fastest.wind.speed","Fastest.wind.direction","Total.sunshine.minutes","Percent.possible.sunshine.minutes","Sky.cover","weather.occur"
2005-01-01,29,1,15,6,9,50,0,0.51,FALSE,1.9,FALSE,13,FALSE,"70.1",113,"W","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, THUNDER, ICE PELLETS, HAIL, GLAZE OR RIME, BLOWING SNOW"
2005-01-02,30,5,18,6,12,47,0,0.33,FALSE,0.3,FALSE,13,FALSE,"39.5",80,"W","355",65,9,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, ICE PELLETS, GLAZE OR RIME"
2005-01-03,30,16,23,6,17,42,0,0.05,FALSE,0,FALSE,13,FALSE,"58.3",80,"W","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME"
2005-01-04,20,5,13,6,7,52,0,0.03,FALSE,0.1,FALSE,13,FALSE,"43",69,"W","515",94,4,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME"
2005-01-05,7,-3,2,6,-4,63,0,0,FALSE,0,FALSE,13,FALSE,"50",70,"W","120",22,9,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME"
2005-01-06,22,7,15,6,9,50,0,0.5,FALSE,3.2,FALSE,13,FALSE,"29",64,"S","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME, BLOWING SNOW"
2005-01-07,20,1,11,6,5,54,0,0.2,FALSE,1.3,FALSE,14,FALSE,"52.9",87,"W","150",27,8,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME, BLOWING SNOW"
2005-01-08,25,12,19,5,14,46,0,0.23,FALSE,3.1,FALSE,14,FALSE,"24.5",42,"NW","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME"
2005-01-09,22,8,15,5,10,50,0,0,TRUE,0.2,FALSE,15,FALSE,"21.2",47,"SW","525",94,5,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME, BLOWING SNOW"
2005-01-10,21,2,12,5,7,53,0,0.38,FALSE,2,FALSE,15,FALSE,"55.9",108,"NW","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME, BLOWING SNOW"
2005-01-11,16,-11,3,5,-2,62,0,0,TRUE,0.2,FALSE,13,FALSE,"50.2",104,"W","425",76,5,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME, BLOWING SNOW"
2005-01-12,32,14,23,5,18,42,0,0.17,FALSE,1,FALSE,13,FALSE,"23.5",62,"W","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, ICE PELLETS, GLAZE OR RIME"
2005-01-13,41,32,37,5,32,28,0,0,FALSE,0,FALSE,12,FALSE,"55.8",103,"SW","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME"
2005-01-14,43,-6,19,5,14,46,0,1.64,FALSE,3.3,FALSE,5,FALSE,"64.1",103,"W","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME, BLOWING SNOW"
2005-01-15,-4,-10,-7,5,-12,72,0,0,TRUE,0.2,FALSE,6,FALSE,"44.7",79,"W","268",47,7,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME"
2005-01-16,4,-7,-2,5,-7,67,0,0.04,FALSE,1,FALSE,5,FALSE,"19.5",45,"W","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME"
2005-01-17,-2,-26,-14,5,-19,79,0,0.04,FALSE,0.3,FALSE,6,FALSE,"36",65,"NW","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME, BLOWING SNOW"
2005-01-18,-3,-29,-16,5,-21,81,0,0,TRUE,0.2,FALSE,5,FALSE,"42.3",71,"NW","456",80,5,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME"
2005-01-19,0,-8,-4,5,-9,69,0,0,TRUE,0.3,FALSE,5,FALSE,"33.6",74,"S","15",3,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME, BLOWING SNOW"
2005-01-20,-1,-23,-12,5,-17,77,0,0,TRUE,0.1,FALSE,5,FALSE,"45.5",72,"NW","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME"
2005-01-21,-9,-27,-18,5,-23,83,0,0,FALSE,0,FALSE,5,FALSE,"58.6",79,"NW","577",100,1,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME"
2005-01-22,3,-10,-4,5,-9,69,0,0.17,FALSE,2.6,FALSE,5,FALSE,"21.2",53,"NW","543",94,8,"FOG, GLAZE OR RIME"
2005-01-23,3,-20,-9,5,-14,74,0,0.04,FALSE,0.7,FALSE,6,FALSE,"43.2",76,"NE","581",100,8,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME, BLOWING SNOW"
2005-01-24,-3,-14,-9,4,-13,74,0,0.08,FALSE,1,FALSE,6,FALSE,"64.5",89,"NW","494",85,6,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME, BLOWING SNOW"
2005-01-25,-4,-17,-11,4,-15,76,0,0.06,FALSE,0.6,FALSE,6,FALSE,"53.6",84,"W","430",74,5,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME, BLOWING SNOW"
2005-01-26,2,-7,-3,5,-8,68,0,0.12,FALSE,1.4,FALSE,6,FALSE,"20.3",43,"W","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME"
2005-01-27,-5,-13,-9,5,-14,74,0,0,FALSE,0,FALSE,6,FALSE,"30",64,"NW","590",100,0,"NA"
2005-01-28,5,-13,-4,5,-9,69,0,0,FALSE,0,FALSE,5,FALSE,"41.2",70,"N","593",100,1,"FOG"
2005-01-29,18,2,10,5,5,55,0,0,FALSE,0,FALSE,5,FALSE,"42.5",63,"NW","384",65,7,"NA"
2005-01-30,16,4,10,5,5,55,0,0,TRUE,0,TRUE,5,FALSE,"20.8",39,"N","557",93,7,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME"
2005-01-31,25,10,18,5,13,47,0,0,FALSE,0,FALSE,2,FALSE,"17.4",28,"N","600",100,0,"NA"
2005-02-01,23,14,19,5,14,46,0,0,FALSE,0,FALSE,2,FALSE,"15.9",23,"W","602",100,1,"NA"
2005-02-02,30,17,24,5,19,41,0,0,FALSE,0,FALSE,2,FALSE,"18.6",26,"SW","604",100,2,"NA"
2005-02-03,29,22,26,5,21,39,0,0,FALSE,0,FALSE,2,FALSE,"15.6",28,"SW","365",60,7,"NA"
2005-02-04,33,24,29,5,24,36,0,0,TRUE,0,TRUE,2,FALSE,"11",17,"NE","249",41,8,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME"
2005-02-05,36,23,30,5,25,35,0,0,FALSE,0,FALSE,2,FALSE,"16.8",28,"N","613",100,1,"NA"
2005-02-06,42,32,37,5,32,28,0,0,FALSE,0,FALSE,2,FALSE,"5",16,"W","615",100,2,"NA"
2005-02-07,37,27,32,5,27,33,0,0,FALSE,0,FALSE,2,FALSE,"22.8",38,"W","289",47,8,"NA"
2005-02-08,35,24,30,5,25,35,0,0.2,FALSE,0.6,FALSE,2,FALSE,"34.6",72,"W","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME"
2005-02-09,26,18,22,5,17,43,0,0.05,FALSE,0.5,FALSE,3,FALSE,"26.3",60,"NW","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME"
2005-02-10,19,0,10,6,4,55,0,1.05,FALSE,10.8,FALSE,5,FALSE,"41.4",72,"N","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME, BLOWING SNOW"
2005-02-11,2,-6,-2,6,-8,67,0,1.35,FALSE,10.1,FALSE,14,FALSE,"76.8",117,"NW","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME, BLOWING SNOW"
2005-02-12,7,-4,2,6,-4,63,0,0.38,FALSE,4.5,FALSE,7,FALSE,"57.4",101,"NW","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME, BLOWING SNOW"
2005-02-13,14,-4,5,6,-1,60,0,0.08,FALSE,2.1,FALSE,10,FALSE,"36",61,"NW","387",61,4,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME, BLOWING SNOW"
2005-02-14,18,9,14,6,8,51,0,0.17,FALSE,1.7,FALSE,10,FALSE,"30.9",74,"S","209",33,9,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME, BLOWING SNOW"
2005-02-15,27,13,20,6,14,45,0,0.38,FALSE,3.1,FALSE,12,FALSE,"48.6",71,"S","275",43,7,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME, BLOWING SNOW"
2005-02-16,30,7,19,7,12,46,0,0.79,FALSE,4.2,FALSE,11,FALSE,"37.8",65,"NW","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME, BLOWING SNOW"
2005-02-17,7,0,4,7,-3,61,0,0,FALSE,0,FALSE,15,FALSE,"29.2",70,"W","647",100,4,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME, BLOWING SNOW"
2005-02-18,1,-12,-6,7,-13,71,0,0.2,FALSE,4.9,FALSE,15,FALSE,"17.9",42,"NW","50",8,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME"
2005-02-19,-4,-14,-9,7,-16,74,0,0.09,FALSE,0.7,FALSE,16,FALSE,"35.9",71,"W","306",47,7,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME, BLOWING SNOW"
2005-03-01,14,-3,6,9,-3,59,0,0.31,FALSE,2.7,FALSE,7,FALSE,"34.8",87,"E","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME, BLOWING SNOW"
2005-03-02,-1,-7,-4,10,-14,65,0,0.73,FALSE,6.4,FALSE,8,FALSE,"53",82,"NW","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME, BLOWING SNOW"
2005-03-03,-4,-15,-10,10,-20,75,0,0.12,FALSE,0.6,FALSE,9,FALSE,"67.7",90,"NW","40",6,9,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME, BLOWING SNOW"
2005-03-04,-4,-14,-9,10,-20,74,0,0,FALSE,0,FALSE,9,FALSE,"65.1",86,"NW","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME, BLOWING SNOW"
